0,35.63,6.31,3.35,23.5,63.8,70.45,14.33,21.3,38.42,73.38,67.31,81.62,21.1,9.95,24.73,85.97,80.1,63.9,8.47,0.69,59.25,60.49,54.11,59.36,8.82,2.74,35.73,58.16,53.46,23.47,9.89,33.7,76.62,1.38,24.6,29.84,10.93,33.18,46.46,23.71,56.41,83.76,65.91,32.05,97.78,28.27,65.9,50.96,3.39,39.47
0,68.57,56.56,54.55,39.2,51.19,59.5,50.48,89.58,78.89,44.28,32.15,30.05,35.2,77.86,2.63,51.5,66.41,15.91,96.66,78.46,25.75,86.62,86.59,84.13,33.45,94.58,79.42,77.49,82.83,69.15,78.3,60.67,83.14,68.76,40.52,56.59,28.9,57.9,30.72,4.14,56.6,88.02,65.73,65.62,15.81,12.2,51.22,87.26,82.73,73.74
1,5.44,42.41,20.65,81.07,89.56,24.56,89.84,4.71,36.54,45.85,61.1,87.03,92.97,32.84,96.08,41.88,10.17,53.05,53.1,92.41,9.27,55.11,69.09,23.69,18.88,58.19,12,31.1,96.81,41.52,8.16,42.07,91.93,40.6,43.04,3.38,85.85,67.4,46.7,46.9,31.17,52.74,45.15,25.21,47.32,58.97,8.1,17.38,78.08,37.19
1,14.28,48.09,76.35,8.79,87.26,99.17,81.65,50.52,53.93,56.87,48.71,58.99,26.95,20.57,96.18,71.39,94.45,88.68,99.17,14.45,56.95,17.03,78.82,54.04,31.4,38.29,65.98,21.71,59.45,89.19,16.86,61.92,46.5,34.56,79.69,84.19,19.74,17.7,1.41,32.15,69.54,29.81,58.45,38.24,68.9,35.33,87.92,73.68,25.63,13.3
0,25.34,92.3,53.22,51.19,13.91,54.56,89.86,38.89,80.05,64.64,21.82,50.25,27.93,10.49,33.02,81.68,45.68,86.24,52.2,98.64,63.98,11.15,19.83,16.88,28.9,53.98,91.09,17.06,59.1,9.53,4.5,32.46,27.89,17.11,2.6,83.03,94.87,86.49,78.08,35.58,62.67,17.15,63.44,17.33,47.22,13.96,76.91,86.98,38.56,2.91
1,74.02,15.34,87.15,75.37,12.74,8.94,65.81,81.27,50.24,25.76,87.17,13.5,60.9,14.56,12.91,31.51,24.47,47.45,40.3,72.41,57.5,91.19,72.74,96.35,18.69,9.63,18.7,36.83,87.18,1.96,87.18,18.66,68.21,1.21,83.47,20.13,86.65,60.13,19.79,82.57,45.2,99.28,52.46,67.74,68.55,57.3,34.33,93.98,67.18,99.55
1,91.5,10.62,23.05,31.12,82.42,92.82,27.79,67.39,55.83,16.73,6.91,28.53,44.62,28.96,96.44,8.17,54.15,72.8,55.6,37.08,49.83,42.17,72.98,76.11,43.31,41.16,89.72,58.96,61.66,41.95,81.96,91.83,55.59,43.52,94.46,84.91,36.53,43.71,18.31,94.51,60.82,83.11,42.09,51.32,72,89.19,99.02,45.12,2.97,23.12
1,67.95,84.99,33.71,97.52,6.74,46.24,27.15,54.04,18.01,68.69,5.58,38.48,85.26,21.42,86.12,8.07,58.02,5.95,18.65,26.48,15.93,92.57,37.48,35.95,0.58,86.66,17.86,74.06,96.01,70.1,83.54,30.14,96.88,56.09,34.14,95.35,24.46,93.79,20.32,11.3,75.99,83.42,58.21,87.91,71.27,96.81,41.37,36.36,96.73,14.46
0,52.87,40.4,5.96,1.17,74.93,25.38,2.99,7.85,34.37,46.31,44.28,44,23.07,30.74,90.72,29.94,26.91,94.45,78.25,5.69,17.36,69.87,25.87,16.34,81.77,8.98,33.44,53.88,25.72,35.85,86.58,75.51,32,61.92,63.86,58.89,92.61,54.4,90.47,28.41,43.73,73.27,29.76,47.95,45.37,27.02,24.1,66.28,52.25,21.24
1,81.86,48.59,65.26,97.84,32.03,34.51,81.76,15.43,8.48,3.18,7.06,34.48,22.36,75.09,23.02,42.66,50.68,84.78,36.58,80.33,28.63,53.28,88.3,92.63,1.87,77.84,69.32,60.22,10.07,78.35,20.99,82.31,60.61,72.28,69.25,0.07,0.5,53.62,13.11,84.7,13.63,67.06,60.5,67.39,64.04,4.41,62.67,81.95,76.96,73.37
